urn	q05	q95	n_syn_used	band_source	file_path
urn:mavedb:00000001-a-1	-0.4551955504175247	1.2786379261141556	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-a-1.scores.csv
urn:mavedb:00000001-a-2	-0.5469423849228882	0.5638984960520824	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-a-2.scores.csv
urn:mavedb:00000001-a-3	0.5921042842403087	1.05335383331537	347	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-a-3.scores.csv
urn:mavedb:00000001-a-4	0.5925788723527642	1.05335383331537	348	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-a-4.scores.csv
urn:mavedb:00000001-b-1	-0.6176075321490672	1.6336055261393172	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-b-1.scores.csv
urn:mavedb:00000001-b-2	0.726683868297371	1.27008617895969	201	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-b-2.scores.csv
urn:mavedb:00000001-c-1	0.855134786616466	1.09695161420006	296	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-c-1.scores.csv
urn:mavedb:00000001-c-2	0.006071625299234329	1.4158369480071347	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-c-2.scores.csv
urn:mavedb:00000001-d-1	0.496433275112819	1.399947554447769	574	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-d-1.scores.csv
urn:mavedb:00000001-d-2	-0.5969250340766261	1.202954425020805	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-d-2.scores.csv
urn:mavedb:00000002-a-1	-0.14384382450080072	0.1257362541021217	68	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000002-a-1.scores.csv
urn:mavedb:00000002-a-2	-3.257311331689232	0.5739085633683287	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000002-a-2.scores.csv
urn:mavedb:00000003-a-1	-1.9352436668138935	0.9198649742707741	377	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000003-a-1.scores.csv
urn:mavedb:00000003-a-2	-2.231790184069122	1.3211250122864406	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000003-a-2.scores.csv
urn:mavedb:00000003-b-1	-1.5612801986379425	0.6315894474742446	396	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000003-b-1.scores.csv
urn:mavedb:00000003-b-2	-1.2375243217517722	1.3224953188384372	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000003-b-2.scores.csv
urn:mavedb:00000004-a-1	-4.289035094747723	1.629109656987723	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000004-a-1.scores.csv
urn:mavedb:00000004-a-2	-0.35921994973101457	0.3419786613143011	200	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000004-a-2.scores.csv
urn:mavedb:00000004-a-3	-2.5656972981505257	0.7664576523437432	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000004-a-3.scores.csv
urn:mavedb:00000005-a-1	0.38380000000000003	0.9794499999999999	496	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-1.scores.csv
urn:mavedb:00000005-a-2	0.5311	0.98455	491	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-2.scores.csv
urn:mavedb:00000005-a-3	0.7406230605347435	0.9907110030492254	358	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-3.scores.csv
urn:mavedb:00000005-a-4	0.597755563641609	0.9889934293944075	371	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-4.scores.csv
urn:mavedb:00000005-a-5	0.639353482267146	1.288845043166252	517	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-5.scores.csv
urn:mavedb:00000005-a-6	0.7480345973873918	1.1858106353644793	500	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-6.scores.csv
urn:mavedb:00000006-a-1	-0.6476126802016801	0.34583668020168	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000006-a-1.scores.csv
urn:mavedb:00000007-a-1	-0.2136862537784325	0.16868625377843252	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000007-a-1.scores.csv
urn:mavedb:00000008-a-1	-0.35404082671814147	0.2375531267181415	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000008-a-1.scores.csv
urn:mavedb:00000008-a-2	-0.3233919655560359	0.22339146555603587	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000008-a-2.scores.csv
urn:mavedb:00000009-a-1	-0.08538656401619998	0.05322656401619999	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000009-a-1.scores.csv
urn:mavedb:00000009-a-2	-0.03603633972805	0.03958633972805	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000009-a-2.scores.csv
urn:mavedb:00000010-a-1	-0.4583143067871823	1.3821754756761822	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000010-a-1.scores.csv
urn:mavedb:00000011-a-1	0.0	0.01201898195	24	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000011-a-1.scores.csv
urn:mavedb:00000012-a-1	0.0690416205537403	2.0715696107662596	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-1.scores.csv
urn:mavedb:00000012-a-2	-9.392580368739083	3.3033545996990825	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-2.scores.csv
urn:mavedb:00000012-a-3	-10.728672993184354	3.9905037999043538	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-3.scores.csv
urn:mavedb:00000012-a-4	-13.826186243725552	4.944825593665551	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-4.scores.csv
urn:mavedb:00000012-a-5	-13.149418987415128	4.349340356975129	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-5.scores.csv
urn:mavedb:00000012-a-6	-13.698397112372211	5.876622272012211	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-6.scores.csv
urn:mavedb:00000013-a-1	0.7068940251791627	1.1947060607098976	156	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000013-a-1.scores.csv
urn:mavedb:00000013-b-1	0.721194090441977	1.3444976036726612	139	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000013-b-1.scores.csv
urn:mavedb:00000014-a-1	-0.0975461844	0.0975461844	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000014-a-1.scores.csv
urn:mavedb:00000015-a-1	-0.2094789149	0.22947891490000003	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000015-a-1.scores.csv
urn:mavedb:00000016-a-1	-0.1463192766	0.1463192766	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000016-a-1.scores.csv
urn:mavedb:00000017-a-1	-0.2150923688	0.1750923688	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000017-a-1.scores.csv
urn:mavedb:00000018-a-1	-0.2150923688	0.1750923688	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000018-a-1.scores.csv
urn:mavedb:00000019-a-1	-0.3182520071	0.21825200710000003	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000019-a-1.scores.csv
urn:mavedb:00000020-a-1	-0.0975461844	0.0975461844	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000020-a-1.scores.csv
urn:mavedb:00000021-a-1	-0.42237801064999997	0.38237801064999993	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000021-a-1.scores.csv
urn:mavedb:00000022-a-1	-0.28825200710000004	0.24825200710000003	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000022-a-1.scores.csv
urn:mavedb:00000023-a-1	-0.4545712837	0.37457128370000004	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000023-a-1.scores.csv
urn:mavedb:00000023-a-2	-0.3570250993	0.2770250993	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000023-a-2.scores.csv
urn:mavedb:00000024-a-1	-0.1219327305	0.1219327305	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000024-a-1.scores.csv
urn:mavedb:00000025-a-1	-0.0975461844	0.0975461844	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000025-a-1.scores.csv
urn:mavedb:00000026-a-1	-0.1707058227	0.1707058227	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000026-a-1.scores.csv
urn:mavedb:00000027-a-1	-0.49492419505	0.50492419505	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000027-a-1.scores.csv
urn:mavedb:00000027-b-1	-0.5077309219999999	0.46773092199999994	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000027-b-1.scores.csv
urn:mavedb:00000028-a-1	-0.1319327305	0.11193273050000001	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000028-a-1.scores.csv
urn:mavedb:00000029-a-1	-0.45457128369999994	0.3745712837	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000029-a-1.scores.csv
urn:mavedb:00000029-a-2	-0.4545712837	0.37457128370000004	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000029-a-2.scores.csv
urn:mavedb:00000029-b-1	-0.3370250993	0.2970250993	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000029-b-1.scores.csv
urn:mavedb:00000030-a-1	-0.13193273049999998	0.1119327305	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000030-a-1.scores.csv
urn:mavedb:00000031-a-1	-0.33263855319999996	0.2526385532	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000031-a-1.scores.csv
urn:mavedb:00000031-b-1	-0.4689578298	0.40895782979999995	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000031-b-1.scores.csv
urn:mavedb:00000031-c-1	-0.4245712837	0.4045712837	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000031-c-1.scores.csv
urn:mavedb:00000031-d-1	-0.4933443759	0.43334437589999997	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000031-d-1.scores.csv
urn:mavedb:00000032-a-1	-0.1463192766	0.1463192766	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000032-a-1.scores.csv
urn:mavedb:00000033-a-1	-0.1907058227	0.15070582270000002	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000033-a-1.scores.csv
urn:mavedb:00000034-a-1	-0.0731596383	0.0731596383	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000034-a-1.scores.csv
urn:mavedb:00000034-b-1	-0.0731596383	0.0731596383	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000034-b-1.scores.csv
urn:mavedb:00000035-a-1	0.0	0.96892	748	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000035-a-1.scores.csv
urn:mavedb:00000035-a-2	0.0	0.973765	748	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000035-a-2.scores.csv
urn:mavedb:00000035-a-3	0.0	0.9736549999999999	748	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000035-a-3.scores.csv
urn:mavedb:00000036-a-1	0.5473	0.9870749999999999	286	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000036-a-1.scores.csv
urn:mavedb:00000036-a-2	0.23701	0.980785	282	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000036-a-2.scores.csv
urn:mavedb:00000037-a-1	-0.02	0.02	75	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000037-a-1.scores.csv
urn:mavedb:00000038-a-1	0.927	1.066	75	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000038-a-1.scores.csv
urn:mavedb:00000038-b-1	0.8702605425500001	1.08973945745	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000038-b-1.scores.csv
urn:mavedb:00000038-b-2	0.6373614468000001	1.2226385532	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000038-b-2.scores.csv
urn:mavedb:00000039-a-1	-0.48141164540000003	0.2014116454	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000039-a-1.scores.csv
urn:mavedb:00000039-a-2	-1.1491425674	0.5091425674000001	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000039-a-2.scores.csv
urn:mavedb:00000039-a-3	-0.1863192766	0.10631927659999998	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000039-a-3.scores.csv
urn:mavedb:00000039-a-4	-0.5889578298	0.28895782980000007	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000039-a-4.scores.csv
urn:mavedb:00000039-a-5	-0.03877309219999999	0.058773092199999995	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000039-a-5.scores.csv
urn:mavedb:00000039-a-6	-0.0587730922	0.0387730922	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000039-a-6.scores.csv
urn:mavedb:00000039-a-7	-0.1275461844	0.06754618440000001	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000039-a-7.scores.csv
urn:mavedb:00000040-a-1	-0.12897201078747317	0.05010429944433917	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000040-a-1.scores.csv
urn:mavedb:00000040-a-2	-0.06756859273002595	0.04669710829227196	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000040-a-2.scores.csv
urn:mavedb:00000040-a-3	-0.5649102638769702	0.18637573453236042	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000040-a-3.scores.csv
urn:mavedb:00000040-a-4	-0.15391837015259174	0.07161291036310974	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000040-a-4.scores.csv
urn:mavedb:00000041-a-1	-1.4088241056604849	2.4335347346604848	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000041-a-1.scores.csv
urn:mavedb:00000041-b-1	-1.1692570571912266	1.1976468081912268	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000041-b-1.scores.csv
urn:mavedb:00000042-a-1	1.39408950173261	4.49128719392981	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000042-a-1.scores.csv
urn:mavedb:00000043-a-1	-3.7404657296965524	1.360722688719755	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000043-a-1.scores.csv
urn:mavedb:00000043-a-2	-1.0348582990752262	0.2310923916341613	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000043-a-2.scores.csv
urn:mavedb:00000044-a-1	-1.1447560213	0.4647560213	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000044-a-1.scores.csv
urn:mavedb:00000044-a-2	-0.14	0.12	10233	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000044-a-2.scores.csv
urn:mavedb:00000044-b-1	-0.2	0.18	8446	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000044-b-1.scores.csv
urn:mavedb:00000044-b-2	-2.8009236879999997	1.100923688	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000044-b-2.scores.csv
urn:mavedb:00000045-a-1	-0.11788024327652645	0.19491458527652644	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-a-1.scores.csv
urn:mavedb:00000045-b-1	-0.06694148663493095	0.11087725263493074	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-b-1.scores.csv
urn:mavedb:00000045-c-1	-0.009803336915102268	0.27552972891510225	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-c-1.scores.csv
urn:mavedb:00000045-d-1	-0.038062195111495875	0.1844506451114959	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-d-1.scores.csv
urn:mavedb:00000045-e-1	-0.062453933768532366	0.14927662676853237	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-e-1.scores.csv
urn:mavedb:00000045-f-1	-0.07566536349472822	0.19894370649472823	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-f-1.scores.csv
urn:mavedb:00000045-g-1	-0.11928735337838478	0.09182891737838478	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-g-1.scores.csv
urn:mavedb:00000045-h-1	-0.0977313677552516	0.1158354777552516	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-h-1.scores.csv
urn:mavedb:00000045-i-1	-0.021691522048538837	0.05184681004853884	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-i-1.scores.csv
urn:mavedb:00000045-j-1	-0.04560451715586595	0.13305149515586595	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-j-1.scores.csv
urn:mavedb:00000045-k-1	-0.5375896388705528	1.1001687718705526	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000045-k-1.scores.csv
