gene_symbol	historical_mechanisms	exact_condition_hpo_route	exact_route_with_inheritance	exact_route_with_penetrance	exact_route_with_both	exact_condition_count	exact_sources	exact_mechanisms	included_hpo_condition_with_inheritance_and_penetrance	unlinked_same_condition_hpo_candidate	unlinked_cross_condition_gene_wide_candidate	hpo_conditions_with_both
AAAS	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
AAGAB	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
AARS1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
AARS2	LOF	0	0	0	0	0			0	0	0	
AASS	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABAT	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCA1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCA12	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCA2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCA3	LOF	0	0	0	0	0			0	0	0	
ABCA4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCA5	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
ABCB11	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCB4	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
ABCB6	GOF	1	0	0	0	1	Orphadata	GOF	0	0	0	
ABCB7	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
ABCC6	LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	0	0	0	
ABCC8	GOF	1	1	0	0	4	GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
ABCC9	GOF;LOF	1	1	0	0	4	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
ABCD1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCD4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCG5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABCG8	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABHD12	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABHD16A	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABHD5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ABL1	GOF	1	1	0	0	1	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
ACAD8	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
