gene_symbol	gofcards_exact_rows	exact_clinvar_vcv_rows	g2p_any_source_record	g2p_canonical_mechanism	g2p_priva_included_mechanism	orphadata_any_source_record	orphadata_canonical_mechanism	orphadata_priva_included_mechanism	only_gofcards_vs_explicit_sources	only_gofcards_vs_priva_included	only_gofcards_vs_any_source_record
ABCC8	34	6	0	0	0	0	0	0	0	0	0
ABCC9	14	4	1	1	1	0	0	0	0	0	0
ABL1	14	3	1	1	1	0	0	0	0	0	0
ACOT11	1	0	0	0	0	0	0	0	1	1	1
ACOX1	2	1	1	1	1	0	0	0	0	0	0
ACTG1	2	0	1	1	1	1	1	1	0	0	0
ACTL6B	2	1	1	1	1	0	0	0	0	0	0
ACTR2	2	0	0	0	0	0	0	0	1	1	1
ACVR1	14	2	1	1	1	1	1	1	0	0	0
ADAM12	2	0	0	0	0	0	0	0	1	1	1
ADAMTS13	10	0	0	0	0	1	1	0	0	1	0
ADAP1	1	0	0	0	0	0	0	0	1	1	1
ADCY5	4	2	1	0	0	0	0	0	0	0	0
ADD1	4	0	0	0	0	0	0	0	1	1	1
ADRB1	2	0	0	0	0	0	0	0	1	1	1
AGER	2	0	0	0	0	0	0	0	1	1	1
AGT	2	1	0	0	0	0	0	0	0	0	0
AHR	2	0	1	1	1	0	0	0	0	0	0
AKT1	2	1	1	1	1	0	0	0	0	0	0
AKT2	2	0	1	0	0	1	1	1	0	0	0
AKT3	4	0	1	0	0	0	0	0	1	1	0
ALAS2	4	0	0	0	0	1	1	0	0	1	0
ALK	14	0	1	1	0	0	0	0	0	1	0
ALPK1	2	1	1	0	0	1	1	0	0	0	0
ALPK2	2	0	0	0	0	0	0	0	1	1	1
ANK2	2	1	1	1	0	0	0	0	0	0	0
ANKH	4	0	1	1	1	1	1	1	0	0	0
ANKRD1	6	0	1	0	0	0	0	0	1	1	0
ANKRD26	2	1	1	0	0	0	0	0	0	0	0
ANO1	8	0	1	1	1	0	0	0	0	0	0
ANO5	2	0	1	1	1	0	0	0	0	0	0
APOA1	2	0	1	1	0	0	0	0	0	1	0
APOBEC3C	4	0	0	0	0	0	0	0	1	1	1
APOL1	2	1	0	0	0	0	0	0	0	0	0
AQP2	2	0	0	0	0	0	0	0	1	1	1
AQP4	2	0	0	0	0	0	0	0	1	1	1
AR	12	0	1	1	1	0	0	0	0	0	0
ARAF	2	0	0	0	0	0	0	0	1	1	1
ARF3	2	0	1	1	0	0	0	0	0	1	0
ARHGEF26	2	0	0	0	0	0	0	0	1	1	1
ATL1	1	0	1	0	0	0	0	0	1	1	0
ATN1	2	0	1	0	0	0	0	0	1	1	0
ATP13A2	2	0	1	1	1	1	1	1	0	0	0
ATP2A2	8	0	1	1	1	1	1	1	0	0	0
ATP2B2	2	0	0	0	0	0	0	0	1	1	1
AURKB	2	0	0	0	0	0	0	0	1	1	1
AVPR2	12	1	0	0	0	1	1	0	0	0	0
BCAT1	2	0	0	0	0	0	0	0	1	1	1
BCKDK	4	0	0	0	0	1	1	0	0	1	0
BCL2	2	0	0	0	0	0	0	0	1	1	1
BCORL1	2	0	1	0	0	0	0	0	1	1	0
BEST1	7	0	1	1	1	0	0	0	0	0	0
BRAF	54	21	1	1	1	1	1	1	0	0	0
BRAP	2	0	0	0	0	0	0	0	1	1	1
BTK	2	0	0	0	0	0	0	0	1	1	1
C2	4	1	0	0	0	0	0	0	0	0	0
C3	8	1	0	0	0	1	1	0	0	0	0
CA4	4	0	1	0	0	0	0	0	1	1	0
CACNA1A	26	4	1	0	0	1	1	1	0	0	0
CACNA1B	2	0	1	1	1	1	1	1	0	0	0
CACNA1C	12	2	1	1	0	0	0	0	0	0	0
CACNA1D	8	0	1	1	1	1	1	1	0	0	0
CACNA1E	2	1	1	1	1	0	0	0	0	0	0
CACNA1F	6	1	1	1	1	0	0	0	0	0	0
CACNA1G	10	1	1	1	1	0	0	0	0	0	0
CACNA1H	24	0	1	0	0	1	1	0	0	1	0
CACNA1I	8	0	0	0	0	0	0	0	1	1	1
CADM1	2	0	0	0	0	0	0	0	1	1	1
CAMK2B	2	0	1	1	1	0	0	0	0	0	0
CAMK2G	2	0	1	0	0	0	0	0	1	1	0
CAMK4	1	0	0	0	0	0	0	0	1	1	1
CAPN5	4	1	1	0	0	0	0	0	0	0	0
CAPRIN1	2	0	1	1	1	1	1	0	0	0	0
CARD11	26	0	0	0	0	1	1	0	0	1	0
CARD14	12	1	1	1	1	0	0	0	0	0	0
