gene_symbol	source	source_record_id	source_condition_id	mondo_id	disease_scope	priva_scope	scope_review_status	disease_label	inheritance	patho_mode_raw	normalized_mechanisms	mechanism_confidence	disease_confidence	pmids	evidence_url	panel_or_submitter	phenotype_terms	notes
HMX1	G2P_DDG2P	G2P00001	OMIM:612109	MONDO:0012802	mendelian_non_neoplastic	include	auto_supported	HMX1-related oculoauricular syndrome	biallelic_autosomal	loss of function	LOF	high	definitive	18423520; 25574057; 29140751	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
SLX4	G2P_DDG2P	G2P00002	OMIM:613951	MONDO:0013499	mendelian_non_neoplastic	include	auto_supported	SLX4-related Fanconi anemia	biallelic_autosomal	loss of function	LOF	high	definitive	21240275; 21240277	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
ARG1	G2P_DDG2P	G2P00003	OMIM:207800	MONDO:0008814	mendelian_non_neoplastic	include	auto_supported	ARG1-related argininemia	biallelic_autosomal	loss of function	LOF	high	definitive	10502833; 1463019; 1598908; 2365823; 7649538	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
ATR	G2P_DDG2P	G2P00004	OMIM:210600	MONDO:0008869	mendelian_non_neoplastic	include	auto_supported	ATR-related Seckel syndrome	biallelic_autosomal	loss of function	LOF	high	strong	10889046; 12640452; 23111928; 30199583	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
FANCB	G2P_DDG2P	G2P00005	OMIM:300514	MONDO:0010351	mendelian_non_neoplastic	include	auto_supported	FANCB-related Fanconi anemia	monoallelic_X_hemizygous	loss of function	LOF	high	definitive	15502827; 16679491; 21910217; 22052692; 23613520; 24584348; 25168418; 26683739; 29193904; 29232005; 30792206; 32106311; 36135330	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
ALG9	G2P_DDG2P	G2P00006	OMIM:608776	MONDO:0012117	mendelian_non_neoplastic	include	auto_supported	ALG9-related congenital disorder of glycosylation	biallelic_autosomal	loss of function	LOF	high	strong	15148656; 15945070; 26453364; 35839600	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
NTRK1	G2P_DDG2P	G2P00007	OMIM:256800	MONDO:0009746	mendelian_non_neoplastic	include	auto_supported	NTRK1-related congenital insensitivity to pain with anhidrosis	biallelic_autosomal	loss of function	LOF	high	definitive	10090906; 10233776; 10330344; 10861667; 10982191; 19250380; 8145823; 8696348	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
YAP1	G2P_DDG2P	G2P00008	OMIM:120433	MONDO:0007355	mendelian_non_neoplastic	include	auto_supported	YAP1-related coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or intellectual developmental disorder	monoallelic_autosomal	loss of function	LOF	high	strong	24462371; 27267789	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
BBS9	G2P_DDG2P	G2P00009	OMIM:615986	MONDO:0014437	mendelian_non_neoplastic	include	auto_supported	BBS9-related Bardet-Biedl syndrome	biallelic_autosomal	loss of function	LOF	high	definitive	16380913; 22353939	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
TRIM32	G2P_DDG2P	G2P00010	OMIM:615988	MONDO:0014439	mendelian_non_neoplastic	include	auto_supported	TRIM32-related Bardet-Biedl syndrome	biallelic_autosomal	undetermined	UNMAPPED_MECHANISM	limited	limited	16606853	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
PAX2	G2P_DDG2P	G2P00011	OMIM:120330	MONDO:0007352	mendelian_non_neoplastic	include	auto_supported	PAX2-related papillorenal syndrome	monoallelic_autosomal	loss of function	LOF	high	definitive	11093271; 11461952; 2644560; 3377002; 7795640; 9106533; 9760197	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
FGFR3	G2P_DDG2P	G2P00012	OMIM:620192	MONDO:0859577	mendelian_non_neoplastic	include	auto_supported	FGFR3-related lacrimo-auriculo-dento-digital syndrome (LADD)	monoallelic_autosomal	undetermined	UNMAPPED_MECHANISM	high	definitive	16501574; 28483234	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
ADAR	G2P_DDG2P	G2P00013	OMIM:127400	MONDO:0007483	mendelian_non_neoplastic	include	auto_supported	ADAR-related dyschromatosis symmetrica hereditaria	monoallelic_autosomal	loss of function	LOF	high	definitive	12916015; 15146470; 16133458; 16536805; 16817193; 16935814; 17478391; 17680540; 25468572; 27747905	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download			
