vcv_accession	rcv_accession	gene_symbols	review_stars	review_status	clinical_significance	conditions
VCV000000009	RCV000000019	HFE	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Hemochromatosis type 1', 'database': 'MedGen', 'id': 'C3469186'}
VCV000000009	RCV000178096	HFE	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000000009	RCV000210820	HFE	1	criteria provided, single submitter	Pathogenic	{'name': 'Hereditary cancer-predisposing syndrome', 'database': 'MedGen', 'id': 'C0027672'}
VCV000000009	RCV000308358	HFE	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Pathogenic, low penetrance	{'name': 'Hereditary hemochromatosis', 'database': 'MedGen', 'id': 'C0392514'}
VCV000000009	RCV000414811	HFE	0	no classifications from unflagged records	no classifications from unflagged records	{'name': 'Cutaneous photosensitivity', 'database': 'MedGen', 'id': 'C0349506'};{'name': 'Porphyrinuria', 'database': 'MedGen', 'id': 'C0151861'}
VCV000000009	RCV001248830	HFE	0	no classification provided	not provided	{'name': 'Bronze diabetes', 'database': 'MedGen', 'id': 'C6022505'}
VCV000000009	RCV001270034	HFE	1	criteria provided, single submitter	Pathogenic	{'name': 'Abdominal pain', 'database': 'MedGen', 'id': 'C0000737'};{'name': 'Abnormal peripheral nervous system morphology', 'database': 'MedGen', 'id': 'C4025831'};{'name': 'Abnormality of the male genitalia', 'database': 'MedGen', 'id': 'C4023819'};{'name': 'Abnormality of the nervous system', 'database': 'MedGen', 'id': 'C0497552'};{'name': 'Atypical behavior', 'database': 'MedGen', 'id': 'C0004941'};{'name': 'Pain', 'database': 'MedGen', 'id': 'C0030193'};{'name': 'Peripheral neuropathy', 'database': 'MedGen', 'id': 'C0031117'}
VCV000000009	RCV001731264	HFE	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiomyopathy', 'database': 'MedGen', 'id': 'C0878544'}
VCV000000009	RCV002280089	HFE	1	criteria provided, single submitter	Pathogenic	{'name': 'HFE-related disorder'}
VCV000000009	RCV002512585	HFE	1	criteria provided, single submitter	Pathogenic	{'name': 'Inborn genetic diseases', 'database': 'MedGen', 'id': 'C0950123'}
VCV000000009	RCV003224084	HFE	1	criteria provided, single submitter	Pathogenic	{'name': 'Alzheimer disease type 1', 'database': 'MedGen', 'id': 'C1863052'};{'name': 'Familial porphyria cutanea tarda', 'database': 'MedGen', 'id': 'C0268323'};{'name': 'Hemochromatosis type 1', 'database': 'MedGen', 'id': 'C3469186'};{'name': 'Microvascular complications of diabetes, susceptibility to, 7', 'database': 'MedGen', 'id': 'C2673520'};{'name': 'TRANSFERRIN SERUM LEVEL QUANTITATIVE TRAIT LOCUS 2', 'database': 'MedGen', 'id': 'C3280096'};{'name': 'Variegate porphyria', 'database': 'MedGen', 'id': 'C0162532'}
VCV000000009	RCV003493406	HFE	1	criteria provided, single submitter	risk factor	{'name': 'Juvenile hemochromatosis', 'database': 'MedGen', 'id': 'C0268060'}
VCV000000009	RCV005621842	HFE	0	no classifications from unflagged records	no classifications from unflagged records	{'name': 'Neuroendocrine neoplasm', 'database': 'MedGen', 'id': 'C0206754'}
VCV000000288	RCV000000312	VWF	3	reviewed by expert panel	Pathogenic	{'name': 'Von Willebrand disease type 2B', 'database': 'MedGen', 'id': 'C1282971'}
VCV000000288	RCV000086699	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
