gene	transcript	UniProt_id	mean_am_pathogenicity	mean_am_pathogenicity_bin	exp_lof	mean_phylop	mean_phylop_bin	oe_lof_upper	oe_lof_upper_bin	loeuf_low_powered
HIST4H4	ENST00000539745	P62805	0.885383390830135	0	1.7989	1.39960658550262	5	1.895	9	TRUE
PHF5A	ENST00000216252	Q7RTV0	0.859779930080662	0	6.5756	1.88566851615906	3	0.455	2	TRUE
HIST1H3J	ENST00000359303	P68431	0.859644719905379	0	2.93	5.47115087509155	0	1.004	5	TRUE
H3F3B	ENST00000586607	P84243	0.852564943770805	0	5.4357	4.23146629333496	0	0.551	2	TRUE
RPS7	ENST00000406376	P62081	0.843513401299465	0	9.6881	4.91150140762329	0	0.309	1	TRUE
UBL5	ENST00000590068	Q9BZL1	0.843342576469998	0	4.6496	2.85195374488831	1	1.575	8	TRUE
MAGOHB	ENST00000320756	Q96A72	0.842290890148005	0	8.4968	0.94984495639801	6	0.741	3	TRUE
RPL36A	ENST00000553110	P83881	0.840991433771511	0	4.7195	4.31182289123535	0	0.634	3	TRUE
MAGOH	ENST00000371470	P61326	0.840892367123171	0	9.6379	3.99332785606384	0	0.492	2	TRUE
SNRPE	ENST00000414487	P62304	0.826188573375907	0	7.6328	0.949694216251373	6	0.392	1	TRUE
TCEB1	ENST00000523815	Q15369	0.822411273295587	0	4.5086	3.3505232334137	0	0.663	3	TRUE
RPS11	ENST00000270625	P62280	0.814564287577227	0	9.1105	4.46640682220459	0	0.328	1	TRUE
RPL27	ENST00000589913	P61353	0.814167057992312	0	6.2354	3.37453722953796	0	0.48	2	TRUE
RPL23	ENST00000394332	P62829	0.813076746156218	0	8.9098	4.05328321456909	0	0.707	3	TRUE
BUD31	ENST00000222969	P41223	0.810433608006458	0	7.2637	2.30455422401428	2	0.867	4	TRUE
RPS4X	ENST00000316084	P62701	0.804900902378815	0	8.5713	3.00290846824646	1	0.349	1	TRUE
RPL36	ENST00000394580	Q9Y3U8	0.803924746729044	0	3.6984	2.66210794448853	1	0.806	4	TRUE
H2AFV	ENST00000308153	Q71UI9	0.801909134730934	0	5.7652	3.77117300033569	0	0.822	4	TRUE
RPS14	ENST00000312037	P62263	0.801125908501475	0	7.5633	3.73153233528137	0	0.396	1	TRUE
RPL31	ENST00000409733	P62899	0.797987304885968	0	6.466	2.53178215026855	2	0.463	2	TRUE
CALM3	ENST00000596362	P0DP25	0.797212057536112	0	8.4093	2.62855100631714	2	0.564	2	TRUE
UFM1	ENST00000239878	P61960	0.796561961167529	0	6.069	0.424639195203781	8	1.035	5	TRUE
ARF1	ENST00000541182	P84077	0.795527363255215	0	7.4377	2.98030948638916	1	0.402	1	TRUE
SNRPD2	ENST00000588301	P62316	0.794760303794812	0	5.3448	2.7326865196228	1	0.56	2	TRUE
RPL10	ENST00000344746	P27635	0.794399875985868	0	7.7277	1.20838415622711	5	0.387	1	TRUE
RPS15A	ENST00000565420	P62244	0.794084063301306	0	5.3563	3.07457852363586	1	0.559	2	TRUE
HIST2H2AB	ENST00000331128	Q8IUE6	0.793593802738428	0	3.0217	2.81723403930664	1	0.976	5	TRUE
HIST2H2AC	ENST00000331380	Q16777	0.79218321260223	0	2.5993	3.89689993858337	0	1.589	8	TRUE
HIST1H2AM	ENST00000359611	P0C0S8	0.789674607565374	0	2.5323	4.41067457199097	0	1.973	9	TRUE
RPS5	ENST00000596046	P46782	0.786776354121533	0	9.3018	1.64205718040466	4	0.322	1	TRUE
UBE2D3	ENST00000349311	P61077	0.783538152153321	0	9.0068	4.45645809173584	0	0.527	2	TRUE
RPL23A	ENST00000422514	P62750	0.782690006912594	0	7.6201	2.92488646507263	1	0.393	1	TRUE
HIST1H2AD	ENST00000341023	P20671	0.782583711394599	0	3.5086	4.60797214508057	0	1.947	9	TRUE
TXNL4A	ENST00000269601	P83876	0.782275706734907	0	5.6129	0.441562175750732	8	1.822	9	TRUE
HIST1H2AH	ENST00000377459	Q96KK5	0.782081129016135	0	2.3359	4.57538270950317	0	1.942	9	TRUE
RPS20	ENST00000521262	P60866	0.779345615701498	0	6.6713	3.3326108455658	0	1.159	6	TRUE
ERH	ENST00000557016	P84090	0.77884610568328	0	7.1056	3.28355860710144	0	0.421	1	TRUE
RPS12	ENST00000230050	P25398	0.776853747805214	0	7.0418	5.10988664627075	0	0.425	1	TRUE
H2AFZ	ENST00000296417	P0C0S5	0.776835218695064	0	6.8723	3.58077096939087	0	0.435	1	TRUE
RPL36AL	ENST00000298289	Q969Q0	0.776045424459608	0	3.2306	2.41930603981018	2	1.684	8	TRUE
RPL38	ENST00000533498	P63173	0.773399485237602	0	5.7589	2.16205048561096	3	0.52	2	TRUE
HIST1H2AE	ENST00000303910	P04908	0.773153186233441	0	2.4522	4.05871295928955	0	1.825	9	TRUE
LSM2	ENST00000375661	Q9Y333	0.772898639298229	0	7.0626	1.82198965549469	4	1.738	8	TRUE
ARF3	ENST00000541959	P61204	0.771897142639506	0	8.7946	3.919029712677	0	0.716	3	TRUE
RPS27A	ENST00000404735	P62979	0.771195017215657	0	8.0761	3.74915957450867	0	0.37	1	TRUE
RPL35	ENST00000348462	P42766	0.770893046871074	0	6.5589	4.23016595840454	0	0.723	3	TRUE
LSM3	ENST00000306024	P62310	0.770418262087072	0	7.5944	0.48126494884491	8	1.766	8	TRUE
RPL30	ENST00000287038	P62888	0.770103489108197	0	6.1635	4.54707002639771	0	0.486	2	TRUE
RPL32	ENST00000396953	P62910	0.770077583664042	0	5.3178	1.17991864681244	6	0.563	2	TRUE
POLR2H	ENST00000456318	P52434	0.768785540058304	0	7.6861	1.43693828582764	5	0.617	2	TRUE
RPS27L	ENST00000330964	Q71UM5	0.767838387778516	0	4.8707	0.336259245872498	8	1.275	6	TRUE
SAP18	ENST00000607003	O00422	0.767743623196977	0	8.0779	1.15826153755188	6	0.587	2	TRUE
HIST2H2BE	ENST00000369155	Q16778	0.766768012994887	0	2.3487	0.846229672431946	7	1.207	6	TRUE
OSTC	ENST00000361564	Q9NRP0	0.766230589745628	0	7.8709	2.63829469680786	2	1.161	6	TRUE
DYNLL1	ENST00000242577	P63167	0.765283398106197	0	3.9331	3.47964572906494	0	0.759	3	TRUE
GTF2A2	ENST00000396061	P52657	0.763669100878687	0	5.6206	2.33860039710999	2	1.359	7	TRUE
HIST1H2BN	ENST00000396980	Q99877	0.7612757326297	0	2.3445	4.14142799377441	0	1.942	9	TRUE
DCAF7	ENST00000431926	P61962	0.761240363480183	0	8.3533	4.92713594436646	0	0.358	1	TRUE
RBX1	ENST00000216225	P62877	0.761101302092039	0	9.2615	1.84659969806671	3	0.323	1	TRUE
LSM5	ENST00000450169	Q9Y4Y9	0.759390973306111	0	5.6392	0.874881684780121	7	1.355	7	TRUE
SUPT4H1	ENST00000580947	P63272	0.759304272419548	0	9.7567	3.13586068153381	1	1.212	6	TRUE
HIST1H2BK	ENST00000356950	O60814	0.758810437615175	0	2.2286	3.95086622238159	0	1.976	9	TRUE
RPS28	ENST00000600659	P62857	0.758478763127018	0	3.7503	0.666467666625977	7	0.796	4	TRUE
RHOA	ENST00000418115	P61586	0.758232329702453	0	7.1436	3.46622347831726	0	0.664	3	TRUE
HIST1H2BI	ENST00000377733	P62807	0.755136569736679	0	2.2595	3.8615460395813	0	1.915	9	TRUE
PFN2	ENST00000239940	P35080	0.755095835098252	0	5.2569	3.43457627296448	0	0.901	4	TRUE
HIST1H2AC	ENST00000602637	Q93077	0.75475954059639	0	2.8389	1.11257743835449	6	1.033	5	TRUE
HIST3H2A	ENST00000366695	Q7L7L0	0.753204843803725	0	2.2472	1.47249937057495	5	1.247	6	TRUE
HIST1H2AJ	ENST00000333151	Q99878	0.750966154819564	0	1.9035	3.96206736564636	0	1.886	9	TRUE
RPL37A	ENST00000491306	P61513	0.750442193124916	0	5.9746	0.525676071643829	8	1.494	7	TRUE
PRPS1	ENST00000372435	P60891	0.750274247395427	0	7.9356	2.78126406669617	1	0.377	1	TRUE
RHOC	ENST00000369632	P08134	0.749684785676293	0	9.174	2.99613738059998	1	0.517	2	TRUE
TPT1	ENST00000530705	P13693	0.749460176555469	0	9.7727	0.651445209980011	7	0.485	2	TRUE
UBE2D1	ENST00000373910	P51668	0.749315520637099	0	9.519	2.07112765312195	3	0.815	4	TRUE
RAC3	ENST00000306897	P60763	0.749243293382257	0	8.281	2.45719480514526	2	1.266	6	TRUE
SNRPG	ENST00000272348	P62308	0.748481470039301	0	5.3962	2.19495439529419	3	0.555	2	TRUE
SNRPF	ENST00000266735	P62306	0.747783190126201	0	5.2437	1.35969829559326	5	0.571	2	TRUE
UBA52	ENST00000599595	P62987	0.744976993830781	0	7.2292	3.1427526473999	1	0.656	3	TRUE
ARF5	ENST00000000233	P84085	0.74226976354385	0	9.0614	3.05722379684448	1	0.33	1	TRUE
HIST1H2BJ	ENST00000339812	P06899	0.741783481899317	0	2.0292	4.19556188583374	0	1.874	9	TRUE
CNIH1	ENST00000216416	O95406	0.741555825818705	0	7.6526	1.06035733222961	6	0.62	3	TRUE
POLR2K	ENST00000353107	P53803	0.741330908493979	0	3.5259	1.28108978271484	5	1.879	9	TRUE
PRPS2	ENST00000380668	P11908	0.741091935704196	0	9.0412	2.10297346115112	3	0.331	1	TRUE
CFL1	ENST00000525451	P23528	0.740902693561362	0	6.6288	1.69408142566681	4	0.716	3	TRUE
RRAGA	ENST00000380527	Q7L523	0.740738980428332	0	8.8285	3.50017309188843	0	0.713	3	TRUE
DSTN	ENST00000246069	P60981	0.739861652307406	0	6.5822	1.0218917131424	6	0.721	3	TRUE
SKP1	ENST00000522855	P63208	0.739618244985282	0	9.0229	4.47258186340332	0	0.698	3	TRUE
RPS21	ENST00000343986	P63220	0.739219840556048	0	5.7658	2.53003072738647	2	1.088	5	TRUE
UBE2QL1	ENST00000399816	A1L167	0.73821420970849	0	3.7016	0.465619623661041	8	0.806	4	TRUE
BANF1	ENST00000527348	O75531	0.737893052554542	0	3.4091	1.83043718338013	4	0.872	4	TRUE
SEC61G	ENST00000450622	P60059	0.736392586690407	0	3.1895	2.31288290023804	2	0.929	4	TRUE
SSU72	ENST00000291386	Q9NP77	0.735021091250031	0	9.3395	2.50372338294983	2	0.508	2	TRUE
MYL9	ENST00000279022	P24844	0.734189216994168	0	5.0376	0.911140620708466	6	1.488	7	TRUE
MOB1B	ENST00000309395	Q7L9L4	0.734148542009581	0	9.9782	1.17179942131042	6	0.917	4	TRUE
WDR83OS	ENST00000596731	Q9Y284	0.732984551167415	0	5.1758	2.77487397193909	1	1.652	8	TRUE
HIST1H2BD	ENST00000289316	P58876	0.732777265907049	0	2.1533	1.74901032447815	4	1.971	9	TRUE
SLC25A4	ENST00000281456	P12235	0.732659851221719	0	9.8958	1.18472003936768	6	0.636	3	TRUE
RPS25	ENST00000527673	P62851	0.731341446396456	0	6.5174	4.62771654129028	0	0.459	2	TRUE
RPS9	ENST00000391753	P46781	0.730703584578713	0	6.896	4.14489984512329	0	0.434	1	TRUE
RPS19	ENST00000593863	P39019	0.730012723173221	0	8.1365	4.18500947952271	0	0.368	1	TRUE
MYL12B	ENST00000584539	O14950	0.729789752182909	0	5.1853	3.25766730308533	1	1.204	6	TRUE
RPL8	ENST00000528957	P62917	0.729181555089518	0	9.7447	3.57697629928589	0	0.307	1	TRUE
UBE2N	ENST00000318066	P61088	0.728782072852842	0	6.946	1.41964781284332	5	0.431	1	TRUE
TAF13	ENST00000338366	Q15543	0.728444650186174	0	8.4282	2.41029214859009	2	1.085	5	TRUE
LSM7	ENST00000252622	Q9UK45	0.727541460709216	0	5.6666	3.00651121139526	1	0.837	4	TRUE
EIF5A	ENST00000416016	P63241	0.726880059893067	0	7.5632	2.63417840003967	2	0.627	3	TRUE
FAM78B	ENST00000338353	Q5VT40	0.726051604792815	0	8.3066	2.61242628097534	2	0.758	3	TRUE
CPLX2	ENST00000515094	Q6PUV4	0.724452918237253	0	6.3223	3.75527453422546	0	0.75	3	TRUE
SLC25A6	ENST00000381401	P12236	0.723205528791541	0	9.9496	2.4909393787384	2	0.779	3	TRUE
CBX3	ENST00000396386	Q13185	0.722900695577516	0	9.4253	2.08415579795837	3	0.668	3	TRUE
MAP1LC3A	ENST00000397709	Q9H492	0.722548860612294	0	6.1919	2.89611172676086	1	1.244	6	TRUE
MOB1A	ENST00000396049	Q9H8S9	0.722267621951944	0	9.4827	1.11823701858521	6	0.315	1	TRUE
HIST1H2AA	ENST00000297012	Q96QV6	0.721314404194567	0	0.83816	2.7597222328186	1	1.963	9	TRUE
RPL34	ENST00000394668	P49207	0.720851266213425	0	8.3675	2.36723780632019	2	0.567	2	TRUE
RHOB	ENST00000272233	P62745	0.720519869136498	0	5.3922	2.19016575813293	3	1.161	6	TRUE
HIST2H2BF	ENST00000369167	Q5QNW6	0.719291727268726	0	2.0266	0.731800377368927	7	1.927	9	TRUE
AP2S1	ENST00000263270	P53680	0.71923750211653	0	9.4415	2.85867261886597	1	0.502	2	TRUE
SUMO2	ENST00000420826	P61956	0.717777460379553	0	6.6528	1.21050155162811	5	0.45	1	TRUE
LAMTOR2	ENST00000368305	Q9Y2Q5	0.71775542399241	0	6.7724	3.05691599845886	1	0.929	4	TRUE
UBE2V1	ENST00000371674	Q13404	0.717705380519876	0	8.4168	2.55046772956848	2	1.246	6	TRUE
UBE2D4	ENST00000222402	Q9Y2X8	0.716708544746409	0	9.7194	0.467489778995514	8	1.474	7	TRUE
SLC25A5	ENST00000317881	P05141	0.716669664724814	0	8.5598	3.73972177505493	0	0.349	1	TRUE
AP3S1	ENST00000316788	Q92572	0.71584205080836	0	8.8405	3.88050532341003	0	1.599	8	TRUE
RPS16	ENST00000251453	P62249	0.714735110305287	0	8.0963	3.95880341529846	0	0.586	2	TRUE
MYL12A	ENST00000536605	P19105	0.714390643446428	0	5.3814	3.77015805244446	0	1.756	8	TRUE
DYNLL2	ENST00000579991	Q96FJ2	0.713863468500946	0	4.4939	0.750465571880341	7	0.666	3	TRUE
YPEL1	ENST00000339468	O60688	0.713850016604915	0	7.207	0.634511470794678	7	0.658	3	TRUE
UBE2A	ENST00000371558	P49459	0.712396319909832	0	5.5739	2.49885177612305	2	0.537	2	TRUE
BTF3L4	ENST00000313334	Q96K17	0.712363484138323	0	6.7939	1.33742868900299	5	0.698	3	TRUE
PPP3R1	ENST00000234310	P63098	0.711884867930937	0	9.4828	3.37240552902222	0	0.664	3	TRUE
NCALD	ENST00000519508	P61601	0.711707720816815	0	7.2506	2.46038460731506	2	0.413	1	TRUE
ATP6V0C	ENST00000330398	P27449	0.710825768149133	0	4.4835	2.89124250411987	1	0.667	3	TRUE
HRAS	ENST00000451590	P01112	0.709797916611781	0	8.3692	1.88353264331818	3	0.926	4	TRUE
RPL22	ENST00000234875	P35268	0.709397690649522	0	6.0624	1.12007808685303	6	1.036	5	TRUE
EIF1	ENST00000469257	P41567	0.708892019678672	0	5.8539	1.54815685749054	4	0.511	2	TRUE
UBE2L3	ENST00000342192	P68036	0.707409369419567	0	6.594	1.68943929672241	4	0.454	2	TRUE
UBE2E3	ENST00000602710	Q969T4	0.706004201695219	0	9.6088	4.57541847229004	0	0.655	3	TRUE
NHP2L1	ENST00000215956	P55769	0.705946526639756	0	4.5659	2.41609573364258	2	0.655	3	TRUE
SERP1	ENST00000479209	Q9Y6X1	0.705580472651799	0	3.5825	0.950201034545898	6	1.286	6	TRUE
TCEB2	ENST00000409906	Q15370	0.705554586733474	0	3.7766	0.877260327339172	7	0.79	4	TRUE
ARF6	ENST00000298316	P62330	0.703429229339422	0	4.1391	2.31447672843933	2	0.722	3	TRUE
EIF1AY	ENST00000361365	O14602	0.703164694855377	0	2.4132	1.67154657840729	4	1.182	6	TRUE
ATP6V1F	ENST00000249289	Q16864	0.70272262809883	0	2.7707	2.58107209205627	2	1.775	8	TRUE
TOMM20	ENST00000366607	Q15388	0.702447621131255	0	9.706	0.769204139709473	7	0.943	4	TRUE
RAP2B	ENST00000323534	P61225	0.702429883457614	0	5.9201	0.829591631889343	7	0.801	4	TRUE
EIF1AX	ENST00000379607	P47813	0.70226506081853	0	7.7601	1.15944170951843	6	0.386	1	TRUE
EIF5A2	ENST00000295822	Q9GZV4	0.700684248724066	0	7.1675	1.102942943573	6	1.601	8	TRUE
SEC11C	ENST00000587834	Q9BY50	0.699681752925778	0	8.5661	4.05744886398315	0	0.554	2	TRUE
YPEL2	ENST00000585166	Q96QA6	0.698201085536092	0	9.4556	3.99572730064392	0	0.316	1	TRUE
RNF11	ENST00000242719	Q9Y3C5	0.698012306492433	0	6.8718	2.34245133399963	2	0.69	3	TRUE
ANAPC11	ENST00000575195	Q9NYG5	0.697953557550182	0	4.4611	0.822036027908325	7	0.67	3	TRUE
NCBP2	ENST00000321256	P52298	0.697867211293404	0	9.3211	1.10809671878815	6	0.675	3	TRUE
MYL6	ENST00000548293	P60660	0.696700439781115	0	8.8467	3.22102236747742	1	1.334	7	TRUE
TMEM167A	ENST00000502346	Q8TBQ9	0.696360915060587	0	5.1042	0.418376952409744	8	1.793	9	TRUE
GABARAPL1	ENST00000545887	Q9H0R8	0.695979187983658	0	5.9405	3.90333604812622	0	0.504	2	TRUE
CKS2	ENST00000314355	P33552	0.695484258014614	0	5.2322	2.81733918190002	1	0.905	4	TRUE
UBE2E1	ENST00000306627	P51965	0.694505272948502	0	8.3234	3.16107773780823	1	0.57	2	TRUE
GABARAP	ENST00000302386	O95166	0.69443780043072	0	7.6779	1.89094388484955	3	0.82	4	TRUE
BRK1	ENST00000530758	Q8WUW1	0.69401152640987	0	3.8017	1.59516966342926	4	0.785	3	TRUE
PERP	ENST00000421351	Q96FX8	0.693746586650666	0	8.3586	0.54646497964859	7	0.927	4	TRUE
UBE2V2	ENST00000523111	Q15819	0.693696449433862	0	6.1859	1.44469153881073	5	1.246	6	TRUE
YPEL5	ENST00000402708	P62699	0.693098061569832	0	5.6987	2.30743503570557	2	0.832	4	TRUE
SERP2	ENST00000379179	Q8N6R1	0.692992704512175	0	3.5872	1.50418567657471	5	0.831	4	TRUE
HIST1H2BL	ENST00000377401	Q99880	0.692775764690326	0	2.2077	2.8660204410553	1	1.97	9	TRUE
SSR3	ENST00000265044	Q9UNL2	0.692704749502138	0	8.8815	0.987964451313019	6	0.534	2	TRUE
RNF7	ENST00000273480	Q9UBF6	0.692135411100179	0	6.1412	0.948638081550598	6	1.254	6	TRUE
POLR2I	ENST00000221859	P36954	0.691065014960686	0	8.8789	3.98867034912109	0	0.709	3	TRUE
NAA50	ENST00000240922	Q9GZZ1	0.690644826290003	0	8.7094	1.12830185890198	6	0.545	2	TRUE
RPL27A	ENST00000314138	P46776	0.690628124061468	0	7.7785	0.391793817281723	8	0.385	1	TRUE
MAP1LC3B	ENST00000268607	Q9GZQ8	0.690486264363761	0	7.6418	1.08304834365845	6	1.366	7	TRUE
SRP14	ENST00000267884	P37108	0.690372469576688	0	6.7835	1.60623049736023	4	0.441	1	TRUE
YWHAH	ENST00000248975	Q04917	0.68869951473358	0	9.4177	3.46092200279236	0	0.504	2	TRUE
KRAS	ENST00000256078	P01116	0.688282798833855	0	9.5335	1.77973067760468	4	1.24	6	TRUE
POLR2D	ENST00000272645	O15514	0.688123928567282	0	7.0134	0.612918794155121	7	0.897	4	TRUE
CKS1B	ENST00000308987	P61024	0.688070121524576	0	5.3607	1.9466507434845	3	0.884	4	TRUE
UBE2M	ENST00000253023	P61081	0.687795489166482	0	9.6426	1.67037177085876	4	0.492	2	TRUE
HPCA	ENST00000373467	P84074	0.68776788091925	0	7.9893	2.44848442077637	2	0.594	2	TRUE
ANAPC10	ENST00000309439	Q9UM13	0.686958313185904	0	9.9551	3.65613722801208	0	1.056	5	TRUE
PFN1	ENST00000225655	P07737	0.686731107887283	0	4.3562	1.99039661884308	3	0.686	3	TRUE
ZNF706	ENST00000518336	Q9Y5V0	0.686629244311223	0	3.981	2.89355683326721	1	0.75	3	TRUE
C16orf52	ENST00000542527	Q8NHV5	0.684147440238709	0	7.6512	2.26657199859619	2	0.823	4	TRUE
INIP	ENST00000374242	Q9NRY2	0.683898090387692	0	6.1263	0.474065899848938	8	1.257	6	TRUE
RPL39	ENST00000361575	P62891	0.683760416727609	0	2.6438	1.91379249095917	3	1.098	5	TRUE
CBLN1	ENST00000536749	P23435	0.68359378070349	0	6.4163	3.88726353645325	0	0.98	5	TRUE
ELOF1	ENST00000590700	P60002	0.682567904312429	0	4.6118	2.22462725639343	2	1.337	7	TRUE
NIP7	ENST00000254940	Q9Y221	0.682404706254816	0	8.9243	1.50601851940155	5	0.705	3	TRUE
LIN52	ENST00000555028	Q52LA3	0.682244952628427	0	8.0378	1.06684756278992	6	0.372	1	TRUE
PDE6H	ENST00000266395	Q13956	0.682078565801667	0	3.4158	1.88069200515747	3	1.807	9	TRUE
SF3B14	ENST00000233468	Q9Y3B4	0.680489509840903	0	6.9815	3.34433317184448	0	0.679	3	TRUE
TMEM127	ENST00000432959	O75204	0.68008655795796	0	7.9231	1.58711135387421	4	1.154	6	TRUE
PPIA	ENST00000468812	P62937	0.680001473720766	0	6.6466	1.01187264919281	6	0.714	3	TRUE
RPL37	ENST00000274242	P61927	0.679682693089368	0	6.5242	0.242971479892731	8	0.964	5	TRUE
SUMO3	ENST00000332859	P55854	0.679657139069747	0	4.2894	1.16286110877991	6	1.096	5	TRUE
SNX3	ENST00000230085	O60493	0.678394782113817	0	7.5168	2.82715225219727	1	0.837	4	TRUE
RAP2A	ENST00000245304	P10114	0.67771264906404	0	6.2439	1.54190242290497	4	0.479	2	TRUE
RPL26	ENST00000582556	P61254	0.676276397936822	0	7.9659	3.29557275772095	0	0.376	1	TRUE
RAB11B	ENST00000328024	Q15907	0.676015482923602	0	9.7984	2.55285406112671	2	0.643	3	TRUE
BTF3	ENST00000380591	P20290	0.675914357513046	0	9.0074	3.31395745277405	0	0.527	2	TRUE
TNNC2	ENST00000372555	P02585	0.675908199897999	0	8.4723	3.23984575271606	1	1.08	5	TRUE
ATP6V0E1	ENST00000517669	O15342	0.675786913047259	0	3.7949	1.78529071807861	4	1.225	6	TRUE
LMO1	ENST00000335790	P25800	0.675525985968228	0	7.4911	4.15088510513306	0	0.633	3	TRUE
MOB3B	ENST00000262244	Q86TA1	0.67518369499237	0	8.4939	0.760201513767242	7	1.077	5	TRUE
RAP2C	ENST00000370874	Q9Y3L5	0.675006517907851	0	3.9372	2.81746101379395	1	1.186	6	TRUE
POLR2J	ENST00000292614	P52435	0.674381378769813	0	6.6375	1.69227266311646	4	1.365	7	TRUE
TMEM167B	ENST00000338272	Q9NRX6	0.674340237731658	0	3.7671	0.750249564647675	7	0.792	4	TRUE
SAR1A	ENST00000431664	Q9NR31	0.67419342013508	0	9.9766	1.7838568687439	4	0.631	3	TRUE
RPL26L1	ENST00000519239	Q9UNX3	0.673418464110595	0	6.4369	3.0969250202179	1	1.579	8	TRUE
MYEOV2	ENST00000607357	Q8WXC6	0.672392076046771	0	2.7067	1.49651432037354	5	1.556	8	TRUE
STMN1	ENST00000374291	P16949	0.671853062367374	0	9.6057	3.68424797058105	0	0.655	3	TRUE
ABHD17C	ENST00000258884	Q6PCB6	0.671324096373004	0	9.8929	2.6135847568512	2	0.302	1	TRUE
S100A10	ENST00000368809	P60903	0.670426665121064	0	2.3319	1.76981818675995	4	1.664	8	TRUE
EIF1B	ENST00000232905	O60739	0.670270588318497	0	6.084	3.28148937225342	0	0.779	3	TRUE
TMEM50B	ENST00000542230	P56557	0.670246745145719	0	9.9533	1.20640599727631	5	0.92	4	TRUE
MED31	ENST00000225728	Q9Y3C7	0.669313786361336	0	9.2595	1.22130572795868	5	1.276	6	TRUE
CRIPT	ENST00000238892	Q9P021	0.66906393198715	0	6.4193	0.367256641387939	8	1.582	8	TRUE
AP1S2	ENST00000329235	P56377	0.668992972323469	0	6.5975	2.10090303421021	3	0.454	2	TRUE
CTNNB1	ENST00000441708	P35222	0.667567246748686	0	5.4229	3.69958329200745	0	0.552	2	TRUE
YPEL3	ENST00000566595	P61236	0.665625218371316	0	6.0531	2.84650111198425	1	1.038	5	TRUE
DYNLRB1	ENST00000357156	Q9NP97	0.66524234687989	0	6.1583	2.5214638710022	2	1.021	5	TRUE
ROMO1	ENST00000336695	P60602	0.664922235992646	0	3.2077	3.06841945648193	1	1.4	7	TRUE
UBE2G2	ENST00000345496	P60604	0.664760991394984	0	8.9823	0.602498710155487	7	0.863	4	TRUE
TIMM13	ENST00000215570	Q9Y5L4	0.664366550673649	0	3.7693	0.488652676343918	8	1.554	8	TRUE
TMEM230	ENST00000202834	Q96A57	0.663874735635423	0	3.8201	1.25447690486908	5	0.781	3	TRUE
NAA10	ENST00000464845	P41227	0.663125527114729	0	9.0877	1.91056776046753	3	0.522	2	TRUE
TMED2	ENST00000262225	Q15363	0.662806077520728	0	7.2288	2.21582627296448	2	0.414	1	TRUE
DNAL4	ENST00000216068	O96015	0.662605052005999	0	4.9024	1.71323597431183	4	1.702	8	TRUE
UBL3	ENST00000380680	O95164	0.662238945126109	0	8.7173	1.68652272224426	4	0.544	2	TRUE
LMO3	ENST00000541846	Q8TAP4	0.662050524559535	0	6.9451	5.58571529388428	0	0.683	3	TRUE
EDF1	ENST00000224073	O60869	0.661999759375594	0	9.3212	3.19410729408264	1	0.509	2	TRUE
LAMTOR3	ENST00000499666	Q9UHA4	0.661714164162969	0	8.6613	NA	NA	0.548	2	TRUE
GABARAPL2	ENST00000037243	P60520	0.66159428616022	0	7.2879	3.5644063949585	0	1.581	8	TRUE
SNRPD1	ENST00000300413	P62314	0.661189475663393	0	5.3084	0.481843948364258	8	0.564	2	TRUE
PURA	ENST00000331327	Q00577	0.660256718229962	0	8.9312	2.06887578964233	3	0.335	1	TRUE
DNAJC5	ENST00000360864	Q9H3Z4	0.660071308684334	0	9.8874	0.410812526941299	8	0.48	2	TRUE
CBLN4	ENST00000064571	Q9NTU7	0.65964073918002	0	6.2609	1.67461454868317	4	1.004	5	TRUE
