domain	ks_stat	p_value	fdr_corrected_p_value	is_more_tolerant	n_query	n_comp_used	composite_T	median_query	median_composite
ENSG00000197785:Low_complexity_(Seg):seg	0.2352941176470588	0.0034410687799205	0.0055483160810161	True	102	102	28973	0.6944999992847443	0.9490500092506408
ENSG00000197785:PANTHER:PTHR23075	0.2624798711755233	1.6408827681210625e-19	1.026913027907848e-18	True	621	621	28973	0.8407999873161316	0.9473000168800354
ENSG00000197785:Pfam:PF12037	0.224	3.2875726729403515e-06	7.165656099508224e-06	True	250	250	28973	0.9237000048160552	0.9641000032424928
ENSG00000197785:Coiled-coils_(Ncoils):Coil	0.2113821138211382	0.0040266490822803	0.0064456041770317	True	123	123	28973	0.8873999714851379	0.8833000063896179
ENSG00000197785:Superfamily:SSF52540	0.2845528455284553	1.7661775519667535e-09	5.2111143791020465e-09	True	246	246	28973	0.8839000165462494	0.95210000872612
ENSG00000197785:CDD:cd19512	0.32	1.7133893125910313e-07	4.20561013105714e-07	True	150	150	28973	0.9214999973773956	0.9598000049591064
ENSG00000197785:Gene3D:3.40.50.300	0.328042328042328	1.061847686405071e-09	3.191709311905805e-09	True	189	189	28973	0.89410001039505	0.9693999886512756
ENSG00000186603:Gene3D:3.10.180.10	0.4769647696476964	1.1824847266835844e-38	1.8377783460540709e-37	True	369	369	28973	0.4986000061035156	0.963800013065338
ENSG00000186603:PIRSF:PIRSF009283	0.4675675675675675	3.285759341409853e-37	4.816069475385464e-36	True	370	370	28973	0.497749999165535	0.9605000019073486
ENSG00000186603:PANTHER:PTHR11959	0.4713896457765668	1.5604046059788411e-37	2.3166176333207888e-36	True	367	367	28973	0.5019999742507935	0.9592999815940856
ENSG00000186603:PROSITE_profiles:PS51819	0.4798657718120805	9.790856251943696e-32	1.1402985400655805e-30	True	298	298	28973	0.5021999776363373	0.9576499760150908
ENSG00000186603:Superfamily:SSF54593	0.4152542372881356	5.138116736082729e-28	5.048769928119422e-27	True	354	354	28973	0.5126499831676483	0.9398500025272368
ENSG00000186603:CDD:cd07250	0.4563106796116505	5.18925505725243e-20	3.3447720353123704e-19	True	206	206	28973	0.544700026512146	0.9551499783992768
ENSG00000186603:CDD:cd08342	0.4928571428571429	4.22856755093201e-16	2.1272198538290534e-15	True	140	140	28973	0.4999499917030334	0.972550004720688
ENSG00000132781:PANTHER:PTHR42944	0.4464285714285714	7.018895943380683e-46	1.4336325064149206e-44	True	504	504	28973	0.3557499945163727	0.959199994802475
ENSG00000132781:Gene3D:3.90.79.10	0.5306122448979592	1.3843667210686774e-19	8.695479162061686e-19	True	147	147	28973	0.4320999979972839	0.954800009727478
ENSG00000132781:Gene3D:1.10.340.30	0.4354838709677419	3.0372515700544106e-11	1.0478623200446161e-10	True	124	124	28973	0.7849000096321106	0.9502000212669371
ENSG00000132781:Gene3D:1.10.1670.10	0.4192139737991266	1.0284683591045148e-18	6.12767898295026e-18	True	229	229	28973	0.7365999817848206	0.953000009059906
ENSG00000132781:PROSITE_profiles:PS51462	0.4641350210970464	1.0137096645082764e-23	8.022642119522761e-23	True	237	237	28973	0.3156000077724457	0.9539999961853028
ENSG00000132781:Superfamily:SSF55811	0.4930555555555556	1.4855266309252162e-16	7.71224104046331e-16	True	144	144	28973	0.4744500070810318	0.9663999974727632
ENSG00000132781:Superfamily:SSF48150	0.4144144144144144	9.397757412106379e-18	5.2672717569693203e-17	True	222	222	28973	0.7833000123500824	0.9426499903202056
ENSG00000132781:CDD:cd03431	0.4962406015037593	1.5380569318214437e-15	7.429194338926658e-15	True	133	133	28973	0.4735000133514404	0.971400022506714
ENSG00000132781:Pfam:PF14815	0.5535714285714286	1.9949890515968696e-16	1.025242998798742e-15	True	112	112	28973	0.4476500004529953	0.9758500158786774
ENSG00000132781:CDD:cd00056	0.4528301886792453	2.2985676117236294e-15	1.0976578742072391e-14	True	159	159	28973	0.8442000150680542	0.970300018787384
ENSG00000132781:Pfam:PF00730	0.4888888888888889	2.6684894402157868e-15	1.2692300924604736e-14	True	135	135	28973	0.8258000016212463	0.9746000170707704
ENSG00000132781:Pfam:PF00633	0.5	4.5326663802771627e-05	8.852676548662114e-05	True	30	50	28973	0.709850013256073	0.964350014925003
ENSG00000132781:Low_complexity_(Seg):seg	0.48	0.0038924605168936	0.0062414940810153	True	14	50	28973	0.8923499882221222	0.9506500065326692
ENSG00000132781:SMART:SM00478	0.4268292682926829	4.383560056204303e-14	1.90345015186716e-13	True	164	164	28973	0.7939999997615814	0.9323000013828278
ENSG00000132781:SMART:SM00525	0.5523809523809524	5.1483711316981216e-05	9.998665845688048e-05	True	21	50	28973	0.6083999872207642	0.9733499884605408
ENSG00000132781:PROSITE_patterns:PS01155	0.5032258064516129	2.844878646951227e-05	5.66044946155483e-05	True	31	50	28973	0.8194000124931335	0.9487500190734864
ENSG00000132781:PROSITE_patterns:PS00764	0.4611764705882353	0.003124608709597	0.0050623223183078	True	17	50	28973	0.4792999923229217	0.9702000021934508
ENSG00000116218:PANTHER:PTHR10264	0.4345403899721448	3.988332047067186e-31	4.525660586534794e-30	True	359	359	28973	0.5710999965667725	0.94650000333786
ENSG00000116218:CDD:cd08827	0.4088888888888889	1.635841654639617e-17	9.046225860238012e-17	True	225	225	28973	0.7494000196456909	0.9569000005722046
ENSG00000116218:Prints:PR00721	0.3376623376623376	1.7731425093137478e-08	4.7773492055077376e-08	True	154	154	28973	0.7874999940395355	0.9266499876976012
ENSG00000116218:Gene3D:6.10.250.2090	0.4444444444444444	1.7740478278448004e-05	3.601250726964352e-05	True	54	54	28973	0.6406999826431274	0.950950026512146
ENSG00000116218:Gene3D:3.30.479.30	0.504424778761062	9.64769236391232e-14	4.0763644761501543e-13	True	113	113	28973	0.7494000196456909	0.9824000000953674
ENSG00000116218:Low_complexity_(Seg):seg	0.5742857142857143	3.999760950240828e-07	9.488144769546116e-07	True	35	50	28973	0.3061999976634979	0.9699000120162964
ENSG00000116218:Pfam:PF01145	0.3920454545454545	9.265465329150602e-13	3.6256440429534816e-12	True	176	176	28973	0.7697499990463257	0.9510999917984008
ENSG00000116218:Superfamily:SSF117892	0.4	2.4508018941478085e-10	7.796396570398191e-10	True	135	135	28973	0.7427999973297119	0.9257000088691713
ENSG00000116218:SMART:SM00244	0.3333333333333333	1.1392244093906536e-08	3.1216912547592314e-08	True	162	162	28973	0.7825500071048737	0.9133999943733216
ENSG00000116218:PROSITE_patterns:PS01270	0.4432258064516129	0.0003105287933217	0.0005583736152272	True	31	50	28973	0.796999990940094	0.9408000111579896
